run,idx,key,phase,action_to_base_rgb_ms,action_to_next_ready_ms,denoise_ms,fwd1_ms,fwd2_ms,fwd3_ms,clean_kv_ms,action_prepare_ms,tae_first_rgb_ms,global_end_index,local_end_index,queue_wait_ms
r2c-ex00-240,203,w,maturity,991.72,1323.68,961.43,330.97,314.05,316.41,311.53,0.1737260026857257,21.11835905816406,205632,12096,0.08
r2c-ex00-240,204,w,maturity,995.27,1322.17,964.89,332.01,315.8,317.08,305.6,0.041498919017612934,21.42966096289456,206640,12096,0.1
r2c-ex00-240,205,w,maturity,995.35,1325.26,962.74,331.32,315.99,315.42,309.5,0.19577599596232176,21.489260019734502,207648,12096,0.11
r2c-ex00-240,206,w,maturity,996.23,1322.92,964.08,331.38,316.82,315.87,305.61,2.3267640499398112,21.42790099605918,208656,12096,0.07
r2c-ex00-240,207,w,maturity,997.46,1326.83,966.62,333.65,316.84,316.13,308.6,0.107318046502769,21.552548045292497,209664,12096,0.07
r2c-ex00-240,208,w,maturity,997.87,1323.39,966.27,334.26,317.05,314.96,305.08,0.13835704885423183,21.47418900858611,210672,12096,0.1
r2c-ex00-240,209,w,maturity,999.98,1328.18,967.11,334.03,317.55,315.53,307.23,1.4199459692463279,21.113807917572558,211680,12096,0.1
r2c-ex00-240,210,w,maturity,1000.31,1328.79,966.41,333.81,316.99,315.61,308.32,1.250061090104282,21.566977025941014,212688,12096,0.12
r2c-ex00-240,211,w,maturity,1000.9,1325.05,968.33,338.0,316.93,313.4,303.82,0.1369569217786193,21.657014032825828,213696,12096,0.11
r2c-ex00-240,212,w,maturity,995.54,1321.48,962.63,333.84,315.52,313.26,305.75,0.12132700067013502,21.24256396200508,214704,12096,0.44
r2c-ex00-240,213,w,maturity,996.24,1323.35,964.65,332.14,315.47,317.05,306.27,0.18932507373392582,21.77659096196294,215712,12096,0.09
r2c-ex00-240,214,w,maturity,994.25,1323.18,964.04,334.55,315.14,314.35,308.16,0.058289035223424435,21.51886699721217,216720,12096,0.13
r2c-ex00-240,215,w,maturity,989.44,1315.38,958.84,329.98,313.31,315.55,305.74,0.15245599206537008,20.936860935762525,217728,12096,0.09
r2c-ex00-240,216,w,maturity,985.64,1312.48,956.16,329.74,312.08,314.34,305.54,0.12507697101682425,21.40371990390122,218736,12096,0.13
r2c-ex00-240,217,w,maturity,992.69,1320.55,961.82,330.04,315.55,316.23,306.77,1.671870006248355,21.25610294751823,219744,12096,0.12
r2c-ex00-240,218,w,maturity,996.88,1322.94,964.98,333.84,314.53,316.61,305.46,0.14675711281597614,21.26870199572295,220752,12096,0.09
r2c-ex00-240,219,w,maturity,998.39,1329.16,969.49,336.0,318.44,315.04,309.29,0.025319051928818226,21.262952010147274,221760,12096,0.17
r2c-ex00-240,220,w,maturity,1005.77,1335.62,974.17,339.98,317.9,316.29,309.26,0.029070070013403893,21.154974005185068,222768,12096,0.09
r2c-ex00-240,221,w,maturity,987.84,1314.87,958.59,326.8,316.6,315.19,306.66,0.06523902993649244,21.252782084047794,223776,12096,0.07
r2c-ex00-240,222,w,maturity,994.23,1323.58,962.68,331.71,314.39,316.58,309.16,0.1882059732452035,21.154913934879005,224784,12096,0.26
r2c-ex00-240,223,w,maturity,1005.17,1332.95,975.08,337.95,321.28,315.85,306.94,0.025779008865356445,21.341548999771476,225792,12096,0.12
r2c-ex00-240,224,w,maturity,1007.26,1333.7,973.78,338.35,318.04,317.39,305.54,0.14625710900872946,21.508184960111976,226800,12096,0.13
r2c-ex00-240,225,w,maturity,1000.05,1331.93,968.3,331.75,319.36,317.19,311.19,0.16567599959671497,21.99289295822382,227808,12096,0.35
r2c-ex00-240,226,w,maturity,991.72,1318.11,963.32,331.5,316.81,315.01,305.74,0.11597806587815285,21.16614195983857,228816,12096,0.23
r2c-ex00-240,227,w,maturity,987.59,1315.25,956.22,328.2,313.5,314.51,306.82,0.12850703205913305,21.300138905644417,229824,12096,0.09
r2c-ex00-240,228,w,maturity,992.93,1321.37,961.67,333.76,315.13,312.77,307.8,0.278102932497859,21.213731030002236,230832,12096,0.09
r2c-ex00-240,229,w,r3b,987.55,1314.48,957.4,325.57,315.75,316.07,306.47,0.5394469480961561,21.193781052716076,231840,12096,0.16
r2c-ex00-240,230,w,r3b,989.22,1315.59,959.54,326.5,317.97,315.07,305.36,0.03831903450191021,21.288878982886672,232848,12096,0.08
r2c-ex00-240,231,j,r3b,990.3,1318.25,960.98,327.13,317.18,316.67,307.7,0.03358896356076002,21.42051502596587,233856,12096,0.09
r2c-ex00-240,232,j,r3b,987.62,1314.52,958.27,325.65,317.92,314.7,305.98,0.028529088012874126,21.561632049269974,234864,12096,0.1
r2c-ex00-240,233,w,r3b,992.63,1322.85,963.22,330.4,314.03,318.79,309.1,0.03904907498508692,21.2268999312073,235872,12096,0.1
r2c-ex00-240,234,k,r3b,989.05,1316.05,957.61,327.42,315.37,314.82,306.64,0.19215501379221678,21.65220002643764,236880,12096,0.09
r2c-ex00-240,235,w,r3b,993.42,1322.3,963.39,330.54,315.57,317.28,307.63,0.13386702630668879,21.28060709219426,237888,12096,0.07
r2c-ex00-240,236,l,r3b,990.43,1320.67,959.55,325.27,317.39,316.89,309.86,0.0703990226611495,21.946250926703215,238896,12096,0.11
r2c-ex00-240,237,w,maturity,990.6,1317.79,960.79,327.77,316.62,316.4,306.4,0.08527794852852821,21.708267042413354,239904,12096,0.13
r2c-ex00-240,238,w,maturity,995.26,1323.9,963.64,332.73,316.45,314.45,307.85,0.16259599942713976,21.161950076930225,240912,12096,0.13
